,Zone,Lower_left,Upper_right,Center,Super_center,Super_center_nr
124,125,"[10.75884, 59.923383]","[10.767574, 59.927919]","[10.763207, 59.925651]","[10.767574, 59.927919]",25.0
125,126,"[10.750106, 59.923383]","[10.75884, 59.927919]","[10.754473, 59.925651]","[10.750106, 59.927919]",26.0
126,127,"[10.741372, 59.923383]","[10.750106, 59.927919]","[10.745739, 59.925651]","[10.750106, 59.927919]",26.0
127,128,"[10.732638, 59.923383]","[10.741372, 59.927919]","[10.737005, 59.925651]","[10.732638, 59.927919]",27.0
128,129,"[10.723904, 59.923383]","[10.732638, 59.927919]","[10.728271, 59.925651]","[10.732638, 59.927919]",27.0
129,130,"[10.71517, 59.923383]","[10.723904, 59.927919]","[10.719537, 59.925651]","[10.71517, 59.923383]",29.0
130,131,"[10.706436, 59.923383]","[10.71517, 59.927919]","[10.710803, 59.925651]","[10.71517, 59.923383]",29.0
131,132,"[10.688968, 59.923383]","[10.697702, 59.927919]","[10.693335, 59.925651]","[10.688968, 59.923383]",30.0
132,133,"[10.680234, 59.923383]","[10.688968, 59.927919]","[10.684601, 59.925651]","[10.688968, 59.923383]",30.0
133,134,"[10.6715, 59.923383]","[10.680234, 59.927919]","[10.675867, 59.925651]","[10.675867, 59.925651]",67.0
134,135,"[10.662766, 59.923383]","[10.6715, 59.927919]","[10.667133, 59.925651]","[10.662766, 59.927919]",28.0
135,136,"[10.654032, 59.923383]","[10.662766, 59.927919]","[10.658399, 59.925651]","[10.662766, 59.927919]",28.0
136,137,"[10.645298, 59.923383]","[10.654032, 59.927919]","[10.649665, 59.925651]","[10.649665, 59.925651]",68.0
137,138,"[10.819979, 59.918846]","[10.828713, 59.923383]","[10.824346, 59.921114]","[10.819979, 59.918846]",31.0
138,139,"[10.811245, 59.918846]","[10.819979, 59.923383]","[10.815612, 59.921114]","[10.819979, 59.918846]",31.0
139,140,"[10.802511, 59.918846]","[10.811245, 59.923383]","[10.806878, 59.921114]","[10.802511, 59.918846]",32.0
140,141,"[10.793777, 59.918846]","[10.802511, 59.923383]","[10.798144, 59.921114]","[10.802511, 59.918846]",32.0
141,142,"[10.785043, 59.918846]","[10.793777, 59.923383]","[10.78941, 59.921114]","[10.785043, 59.918846]",33.0
142,143,"[10.776308, 59.918846]","[10.785043, 59.923383]","[10.780676, 59.921114]","[10.785043, 59.918846]",33.0
143,144,"[10.767574, 59.918846]","[10.776309, 59.923383]","[10.771941, 59.921114]","[10.767574, 59.918846]",34.0
144,145,"[10.75884, 59.918846]","[10.767574, 59.923383]","[10.763207, 59.921114]","[10.767574, 59.918846]",34.0
145,146,"[10.750106, 59.918846]","[10.75884, 59.923383]","[10.754473, 59.921114]","[10.750106, 59.918846]",35.0
146,147,"[10.741372, 59.918846]","[10.750106, 59.923383]","[10.745739, 59.921114]","[10.750106, 59.918846]",35.0
