,Zone,Period,Pickup occurences,Delivery occurences,Pickup distribution,Delivery distribution
4927,206,7,"{""0"": 345, ""1"": 20}","{""0"": 360, ""1"": 5}","[0.945, 0.055]","[0.986, 0.014]"
4928,206,8,"{""0"": 353, ""1"": 12}","{""0"": 363, ""1"": 2}","[0.967, 0.033]","[0.995, 0.005]"
4929,206,9,"{""0"": 360, ""1"": 3, ""2"": 2}","{""0"": 362, ""1"": 3}","[0.986, 0.008, 0.005]","[0.992, 0.008]"
4930,206,10,"{""0"": 362, ""1"": 1, ""2"": 2}","{""0"": 362, ""1"": 3}","[0.992, 0.003, 0.005]","[0.992, 0.008]"
4931,206,11,"{""0"": 362, ""1"": 3}","{""0"": 362, ""1"": 3}","[0.992, 0.008]","[0.992, 0.008]"
4932,206,12,"{""0"": 359, ""1"": 6}","{""0"": 360, ""1"": 5}","[0.984, 0.016]","[0.986, 0.014]"
4933,206,13,"{""0"": 358, ""1"": 7}","{""0"": 357, ""1"": 8}","[0.981, 0.019]","[0.978, 0.022]"
4934,206,14,"{""0"": 354, ""1"": 11}","{""0"": 356, ""1"": 9}","[0.97, 0.03]","[0.975, 0.025]"
4935,206,15,"{""0"": 353, ""1"": 12}","{""0"": 350, ""1"": 14, ""2"": 1}","[0.967, 0.033]","[0.959, 0.038, 0.003]"
4936,206,16,"{""0"": 354, ""1"": 10, ""2"": 1}","{""0"": 344, ""1"": 20, ""2"": 1}","[0.97, 0.027, 0.003]","[0.942, 0.055, 0.003]"
4937,206,17,"{""0"": 351, ""1"": 13, ""2"": 1}","{""0"": 344, ""1"": 21}","[0.962, 0.036, 0.003]","[0.942, 0.058]"
4938,206,18,"{""0"": 358, ""1"": 6, ""2"": 1}","{""0"": 345, ""1"": 19, ""2"": 1}","[0.981, 0.016, 0.003]","[0.945, 0.052, 0.003]"
4939,206,19,"{""0"": 362, ""1"": 3}","{""0"": 352, ""1"": 12, ""2"": 1}","[0.992, 0.008]","[0.964, 0.033, 0.003]"
4940,206,20,"{""0"": 360, ""1"": 5}","{""0"": 359, ""1"": 5, ""2"": 1}","[0.986, 0.014]","[0.984, 0.014, 0.003]"
4941,206,21,"{""0"": 361, ""1"": 4}","{""0"": 361, ""1"": 4}","[0.989, 0.011]","[0.989, 0.011]"
4942,206,22,"{""0"": 363, ""1"": 2}","{""0"": 359, ""1"": 6}","[0.995, 0.005]","[0.984, 0.016]"
4943,206,23,"{""0"": 365}","{""0"": 361, ""1"": 4}",[1.0],"[0.989, 0.011]"
